Symbol;last price;price 3mo;price 6mo;price 9mo;price 12mo;change 3mo;change 6mo;change 9mo;change 12mo
K;80.60;80.08;57.20;56.35;52.75;0.65;40.91;43.03;52.80
DOV;200.53;188.80;183.23;177.74;147.94;6.21;9.44;12.82;35.55
HPE;21.38;19.35;19.65;16.66;14.86;10.49;8.80;28.33;43.88
STT;96.12;92.00;83.45;70.56;71.27;4.48;15.18;36.22;34.87
DECK;176.45;160.89;153.77;136.41;125.62;9.67;14.75;29.35;40.46
VTR;63.86;65.03;53.58;43.13;44.79;-1.80;19.19;48.06;42.58
LYB;83.20;85.67;96.78;96.07;89.25;-2.88;-14.03;-13.40;-6.78
KEYS;151.42;149.01;139.57;147.94;153.26;1.62;8.49;2.35;-1.20
TROW;118.66;108.56;111.66;105.99;103.67;9.30;6.27;11.95;14.46
BR;227.08;209.98;212.24;191.06;200.89;8.14;6.99;18.85;13.04
PHM;128.57;129.35;131.58;110.87;103.84;-0.60;-2.29;15.96;23.82
HAL;30.45;27.58;34.31;36.89;34.94;10.41;-11.25;-17.46;-12.85
CHD;110.00;99.37;97.22;106.71;98.46;10.70;13.15;3.08;11.72
TYL;601.19;605.59;568.11;461.55;422.75;-0.73;5.82;30.25;42.21
FTV;74.61;71.35;71.69;75.04;77.84;4.57;4.07;-0.57;-4.15
MTD;1174.56;1291.75;1521.03;1229.70;1197.19;-9.07;-22.78;-4.48;-1.89
SW;53.12;48.76;;;;8.94;;;
GDDY;185.02;166.80;145.45;122.38;106.66;10.92;27.21;51.18;73.47
DVN;38.77;38.25;46.16;49.76;40.15;1.36;-16.01;-22.09;-3.44
CPAY;364.57;329.72;291.82;302.14;289.93;10.57;24.93;20.66;25.74
AWK;135.89;136.59;140.00;119.59;120.56;-0.51;-2.94;13.63;12.72
EQT;44.09;36.20;34.06;39.38;34.65;21.80;29.45;11.96;27.24
VLTO;102.84;102.11;106.38;93.42;76.40;0.71;-3.33;10.08;34.61
HBAN;17.80;15.42;14.61;13.00;12.15;15.43;21.83;36.92;46.50
SYF;63.76;54.59;50.00;43.02;38.02;16.80;27.52;48.21;67.70
ADM;52.71;54.74;60.99;57.15;53.82;-3.71;-13.58;-7.77;-2.06
DTE;120.50;123.21;118.47;107.42;101.72;-2.20;1.71;12.18;18.46
PPL;34.00;32.30;29.22;26.73;25.28;5.26;16.36;27.20;34.49
